"name";"location";"address";"address2";"city";"state";"zip";"phone";"phone_ext";"county";"email";"status";"type";"contact_firstname";"contact_lastname";"age_range";"transportation";"website";"accreditation";"daysopen";"hoursopen";"typeofcare";"language";"introduction";"additionalInfo";"pricing";"is_afterschool";"is_camp";"logo";"schools_served"
"PRATTVILLE YMCA SECOND GRADE WATER SAFETY";"Don M. Smith Branch";"600 E. Main Street";;"Prattville";"AL";36067;"334-365-8852";;"AUTAUGA";;;;;;;;"http://prattvilleymca.org/";;;;;;"The Y, the State of Alabama Marine Police, and the Autauga County Board of Education have partnered together to provide a week-long water safety class to every second grader in Autauga County. These children learn the basics of being safe in and around the water through classroom instruction and in water activities.";;;"YES";"NO";;
"PRATTVILLE YMCA YOUTH EXERCISE CLASS";"Fitness Branch";"600 East Main St.";;"Prattville";"AL";36067;"334-361-0268";;"AUTAUGA";;;;;;"7–12 ";;"http://prattvilleymca.org/";;"Tuesday and Thursday";"4:00 P.M. –  5:00 P.M.";;;"Learn proper form with light weights and plyometrics.";;"Monthly Fee: $20 members/$40 non-members";"YES";"NO";;
"PRATTVILLE YMCA YOUTH BOOTCAMP";"Fitness Branch";"600 East Main St.";;"Prattville";"AL";36067;"334-361-0268";;"AUTAUGA";;;;;;"7–12 ";;"http://prattvilleymca.org/";;"Monday and Wednesday";"4:00 P.M. –  5:00 P.M.";;;"Come join us for a one hour outdoor bootcamp! We will do stations that include cardio work and muscle building. A fun way to keep your child active using agility ladders, tires, weights and much more!";;"Monthly Fee:  $20 Members/$40 Non-members";"YES";"NO";;
"PRATTVILLE YMCA JR. NAUTILUS";"Fitness Branch";"600 East Main St.";;"Prattville";"AL";36067;"334-361-0268";;"AUTAUGA";;;;;;"13–15";;"http://prattvilleymca.org/";;"Monday, Wednesday, Friday";"4:00 P.M. –  5:00 P.M.";;;"Building a good foundation at an early age is key to continued success in fitness. The Y offers the Jr. Nautilus class for teens ages 13-15 to give them an opportunity to work with a coach on the Nautilus weight machines and 30 minutes of cardio.";;"Monthly Fee: $20 (Members Only)";"YES";"NO";;
"PRATTVILLE YMCA YOUTH RUNNING CLASS";"Fitness Branch";"600 East Main St.";;"Prattville";"AL";36067;"334-361-0268";;"AUTAUGA";;;;;;"7–12";;"http://prattvilleymca.org/";;"Tuesday and Thursday";"4:00 P.M. –  5:00 P.M.";;;"Our Youth Running class is for ages 7-12. In this class, children will build endurance, increase speed and develop a love for running.";;"Monthly Fee: $10 Members/$20 Non-members";"YES";"NO";;
"PRATTVILLE YMCA YOUTH YOGA CLASS";"Fitness Branch";"600 East Main St.";;"Prattville";"AL";36067;"334-361-0268";;"AUTAUGA";;;;;;"7–12";;"http://prattvilleymca.org/";;"Monday and Wednesday";"5:00 P.M. –  6:00 P.M.";;;"We offer Youth Yoga for children 7-12 years old to build awareness, strength and flexibility.";;"Monthly Fee: $20 Members/$40 Non-members";"YES";"NO";;
"MONTGOMERY YMCA CAMP CHANDLER/SUMMER CAMPS";"Camp Chandler";"1240 Jordan Dam Rd";;"Wetumpka";"AL";36092;"334-538-4658";;"ELMORE";"campchandler@ymcamontgomery.org";;;;;"5–8; 7–9; 8–14; 13–14; 15; 16";;"http://www.campchandler.org/";;;;;;"Since 1928 YMCA Camp Chandler has provided youth with the opportunity to build meaningful relationships, develop new skills, and create memories that last a lifetime. Camp Chandler’s highly dedicated, enthusiastic, and caring staff not only ensure that campers have a fun and safe camping experience, but they also strive to build character, make a difference, and change the lives of each and every camper that comes through the gate. Our Mission: To put Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all. Our Values: Caring, Honesty, Respect, Responsibility, and Faith are the basis for all we do.";"Scouts (5-8 year old campers); Explorers (7-9 year old campers); Rangers (8-14 year old campers); Pioneers (13-14 year olds); LIT’s (Leader In Training) (15 year olds); S.W.A.T. (Servants Working All Together)";;"NO";"YES";"http://www.campchandler.org/Portals/3/logo3.gif";
"MONTGOMERY YMCA CAMP CHANDLER/SPECIALTY CAMPS";"Camp Chandler";"1240 Jordan Dam Rd";;"Wetumpka";"AL";36092;"334-538-4658";;"ELMORE";"campchandler@ymcamontgomery.org";;;;;"10–14";;"http://www.campchandler.org/";;;;;;"Since 1928 YMCA Camp Chandler has provided youth with the opportunity to build meaningful relationships, develop new skills, and create memories that last a lifetime. Camp Chandler’s highly dedicated, enthusiastic, and caring staff not only ensure that campers have a fun and safe camping experience, but they also strive to build character, make a difference, and change the lives of each and every camper that comes through the gate. Our Mission: To put Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all. Our Values: Caring, Honesty, Respect, Responsibility, and Faith are the basis for all we do.";"SkiVenture (10-14 year old campers); Extreme Camp (10-14 year old campers); Wrangler Camp (10-14 year old campers); Fishing Camp (10-14 year old campers)";;"NO";"YES";"http://www.campchandler.org/Portals/3/logo3.gif";
"MONTGOMERY YMCA CAMP CHANDLER/SEASONAL CAMPS";"Camp Chandler";"1240 Jordan Dam Rd";;"Wetumpka";"AL";36092;"334-538-4658";;"ELMORE";"campchandler@ymcamontgomery.org";;;;;"5–14";;"http://www.campchandler.org/";;;;;;"Since 1928 YMCA Camp Chandler has provided youth with the opportunity to build meaningful relationships, develop new skills, and create memories that last a lifetime. Camp Chandler’s highly dedicated, enthusiastic, and caring staff not only ensure that campers have a fun and safe camping experience, but they also strive to build character, make a difference, and change the lives of each and every camper that comes through the gate. Our Mission: To put Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all. Our Values: Caring, Honesty, Respect, Responsibility, and Faith are the basis for all we do.";"Christmas Camp; New Year's Bash; Spring Break Camp";"Christmas Camp: $100 per child for YMCA members and $115 per child for non-members; New Year's Bash: $40 per child for YMCA members and $50 per child for non-members; Spring Break Camp: $270 per child for YMCA members and $295 per child for non-members";"NO";"YES";"http://www.campchandler.org/Portals/3/logo3.gif";
"MONTGOMERY YMCA CAMP CHANDLER/CAMP WHEEZEAWAY";"Camp Chandler";"1240 Jordan Dam Rd";;"Wetumpka";"AL";36092;"334-538-4658";;"ELMORE";"campchandler@ymcamontgomery.org";;;;;"8–12";;"http://www.campchandler.org/";;;;;;"Since 1928 YMCA Camp Chandler has provided youth with the opportunity to build meaningful relationships, develop new skills, and create memories that last a lifetime. Camp Chandler’s highly dedicated, enthusiastic, and caring staff not only ensure that campers have a fun and safe camping experience, but they also strive to build character, make a difference, and change the lives of each and every camper that comes through the gate. Our Mission: To put Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all. Our Values: Caring, Honesty, Respect, Responsibility, and Faith are the basis for all we do.";"Summer camp for kids suffering from moderate to severe asthma";"FREE";"NO";"YES";"http://www.campchandler.org/Portals/3/logo3.gif";
"BELL ROAD FAMILY YMCA";"Bell Road Family YMCA";"2435 Bell Rd";;"Montgomery";"AL";36117;"334-271-4343";;"MONTGOMERY";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"The mission of the YMCA remains strong: A worldwide fellowship united by a common loyalty to Jesus Christ for the purpose of helping people grow in spirit, mind and body. The Bell Road Family YMCA offers several different sports programs throughout the year. ";"Mini Basketball ages 4 and 5; Basketball (members only) ages 6-16; Tennis ages 5-adult; Cheerleading ages 6-12 (not in the 7th grade); Football ages 6-12 (not in the 7th grade); T-Ball ages 4-6; Swim Lessons - Ages 6 months - 3 years; Ages 3 - 5 years; Ages 6 - 14 years; Ages 15 and up";;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";
"GOODTIMES YMCA BEFORE AND AFTER-SCHOOL CHILDCARE PROGRAMS";;"2325 Mill Ridge Drive";;"Montgomery";"AL";36117;"334-279-8666";;"MONTGOMERY";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"The YMCA Goodtimes Branch runs a year-round program designed with the YMCA's philosophy of helping children realize their full physical, mental and spiritual potential in a climate of stability and trust. Goodtimes Before and After School Childcare programs operate 3 branch YMCAs and 25 public and private elementary schools within the Montgomery community. The program serves approximately 1200 children per day. The following curriculum areas are followed each day: homework; music and language; games and manipulatives; snacks, cooking and nutrition; discovery, science and nature; arts and crafts; dramatic and creative play; physical skills and health; and international understanding and diversity.";;"Weekly Fees: Before School Only - $25, After School Only - $50, Before and After School - $65, Sibling Discount of $5 for each additional child; Weekly Fee for ACA @Goodtimes: Non-members $65, YMCA members $50; Financial Assistance is available.";"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";"Baldwin, Crump, Garrett, Morningview, Bear, Dannelly, ACA@ Goodtimes Center, Pintlala, Blount, Dozier, Halcyon, Seth Johnson, Brewbaker, Fitzpatrick, Head, Trinity, Wilson, Flowers, Macmillan, Vaughn Road, Children's Center, Floyd, Macon East, Wares Ferry, Chisholm, Forest Avenue, McKee, Johnny Carr Jr. High"
"GOODTIMES YMCA SUMMER PROGRAMS";"Montgomery YMCA Goodtimes Center";"2325 Mill Ridge Drive";;"Montgomery";"AL";36117;"334-279-8666";;"MONTGOMERY";;;;;;"5–15";;"http://www.ymcamontgomery.org/";;;;;;"The YMCA Goodtimes Branch runs a year-round program designed with the YMCA's philosophy of helping children realize their full physical, mental and spiritual potential in a climate of stability and trust. Summer Programs are offered at The Montgomery YMCA Goodtimes Center for children ages 5-15. During the summer, participants are involved in a fun and innovative program consisting of swimming lessons every day, free swim every day, inside games and activities, outside games and activities, arts and crafts, and field trips.";;;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";
"GRANDVIEW FAMILY YMCA";"Grandview Family Branch";"4700 Camp Grandview Road";;"Millbrook";"AL";36054;"334-290-9622";;"ELMORE";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"During the school year or over the summer, we are here to help meet your childcare needs! Our afterschool program will pick up your child from their Millbrook area elementary or middle school (public or private) and keep them busy with homework, sports, and other fun activities until 6 p.m. We also offer “Days Out” programming on scheduled school holidays for all-day care (lunch included), 7 a.m. to 6 p.m. The schools are out and we are open!";;;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";"Millbrook area elementary and middle school (public or private)"
"KERSHAW YMCA";"Kershaw Center YMCA";"2229 W Fairview Avenue";;"Montgomery";"AL";36108;"334-265-1433";;"MONTGOMERY";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"We are proud of our new Youth Fitness Center as an exciting addition to our Adult wellness Center. Now we welcome the entire family to come and get active together. Our best kept secret is our Giant Slide that draws thrill seekers from all around. Our facility also includes a beautiful outdoor walking area and a community garden. Each day seniors and elementary school children alike enjoy classes and activities in our gym and class room facilities. The Kershaw YMCA offers a youth sports for every season, fun space for birthday parties and warm welcome to all Y'sChoice members. ";"Basketball, Football, Cheerleading, T-Ball , Beginning Soccer, Swim Lessons, Before & After School Goodtimes, Summer Camp, Aerobics, First Tee Golf ";;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";
"SOUTHEAST YMCA";"Southeast YMCA";"3455 Carter Hill Road";;"Montgomery";"AL";36111;"334-262-6411";;"MONTGOMERY";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"The Southeast YMCA is a family facility offering youth and adult fitness, aerobics, youth sports, before and after school childcare, summertime aquatic programs and much more. We strive to meet community needs through organized programs that promote healthy lifestyles for the entire family.";;;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";
"WETUMPKA YMCA";"Wetumpka YMCA";"200 Red Eagle Drive";;"Wetumpka";"AL";36092;"334-567-8282";;"ELMORE";;;;;;;;"http://www.ymcamontgomery.org/";;;;;;"The Wetumpka YMCA Branch has been a vital part of the Montgomery community for over 40 years. Kids get involved with youth sports, pre-school classes, after-school programs and more. ";;;"YES";"NO";"http://www.ymcamontgomery.org/Portals/0/ymca-montgomery-logo-vertical.jpg";
"YMCA CAMP COSBY";"YMCA Camp Cosby";"2290 Paul Bear Bryant Road";;"Alpine";"AL";35014;"256-268-2007";;"TALLADEGA";"wmcclain@campcosby.org";;;"Wanda";"McClain";;;"http://www.campcosby.org/";;;;;;"Since 1922, Camp Cosby has helped set the standard of excellence in resident camping through programs that match the interests and abilities of each camper. At Camp Cosby, boys and girls have the opportunity to build self esteem, grow, learn, and challenge themselves. Campers also learn to develop values such as caring, honesty, respect and responsibility. Through meeting international staff and campers, children develop both an appreciation of international relationships and cultural understanding. Camp Cosby's beautiful location provides campers with an excellent opportunity to appreciate the natural environment and have FUN.";"Summer Camp; The Outdoor Classroom; Teambuilding; Group Camping; Adventure Trips";;"NO";"YES";"http://www.campcosby.org/images/CC_Sub_Page_Header_3a.jpg";
"YMCA OF GREATER BIRMINGHAM/ALABASTER FAMILY BRANCH AFTERSCHOOL PROGRAM";"Alabaster Family Branch";"117 Plaza Circle";;"Alabaster";"AL";35007;"205-663-7240";;"SHELBY";"ghacher@ymcabham.org";;;"Gwen";"Hatcher";;"YES";"http://www.ymcabham.org/";;"Each Day";"From school dismissal until 6:30 P.M.";;;"Established in 1884, the YMCA of Birmingham is a nonprofit dedicated to strengthening communities through youth development, healthy living and social responsibility. Across Jefferson and Shelby Counties, 13 Ys engage more than 40,000 men, women and children – regardless of age, income or background – to nurture the potential of children and teens, improve the nation’s health and well-being, and provide opportunities to give back and support neighbors. ";;"After School and Holiday Camp: Members - $175 Per Month, Non members - $270 Per Month";"YES";"YES";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";"Creek View Elementary, Meadow View Elementary, Thompson Intermediate, Thompson 6th Grade Center, Thompson Middle, Calera Elementary, Calera Intermediate, Calera Middle"
"YMCA OF GREATER BIRMINGHAM/ALABASTER FAMILY BRANCH SUMMER CAMP";;"117 Plaza Circle";;"Alabaster";"AL";35007;"205-663-7240";;"SHELBY";;;;;;;;"http://www.ymcabham.org/";;;;;;"Established in 1884, the YMCA of Birmingham is a nonprofit dedicated to strengthening communities through youth development, healthy living and social responsibility. Across Jefferson and Shelby Counties, 13 Ys engage more than 40,000 men, women and children – regardless of age, income or background – to nurture the potential of children and teens, improve the nation’s health and well-being, and provide opportunities to give back and support neighbors. ";"Traditional Camps: Little Explorers, Scamper Camp, Trailblazer Camp, Teen Scene Camp; Nontraditional Camps: Cooking Camp (Entering K – 3rd Grade), Cooking Camp (Entering 4th-8th), Wild about Wilderness; Sports Camps: Bump, Set, Spike! – Volleyball Camp for girls, Get Your Kicks at the YMCA – Soccer Camp (boys and girls); Punt, Pass and Kick your way into Flag Football, S/He shoots; S/He Scores Basketball Camp (boys and girls)";"Little ExplorersFee: $110 Members (per week), $165 Nonmembers (per week); Scamper Camp Fee: $110 Members (per week), $165 Nonmembers (per week); Trailblazer Camp Fee: $110 Members (per week), $165 Nonmembers (per week); Teen Scene Camp: Fee: $110 Members (per week), $165 Nonmembers (per week); Cooking Camp (Entering K – 3rd Grade) Fee: $160 Members, $240 Nonmembers; Cooking Camp (Entering 4th-8th) Fee: $180 Members, $240 Nonmembers; Wild about Wilderness Fee: $180 Members, $260 Nonmembers; Bump, Set, Spike! – Volleyball Camp for girls Fee: $110 members, $165 nonmembers; Get Your Kicks at the YMCA – Soccer Camp (boys and girls) Fee: $110 members, $165 nonmembers, Punt, Pass and Kick your way into Flag Football - (boys and girls) Fee: $110 members, $165 nonmembers; S/He shoots; S/He Scores Basketball Camp (boys and girls) Fee: $160 members, $165 nonmembers";"NO";"YES";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";
"YMCA OF GREATER BIRMINGHAM/GREYSTONE AFTER SCHOOL CARE";;"5414 Highway 280";;"Birmingham";"AL";35242;"205-981-0144";;"JEFFERSON";"thiers@ymcabham.org";;;"Tanya";"Hiers";;"YES";"http://www.ymcabham.org/";;;;;;"Established in 1884, the YMCA of Birmingham is a nonprofit dedicated to strengthening communities through youth development, healthy living and social responsibility. Across Jefferson and Shelby Counties, 13 Ys engage more than 40,000 men, women and children – regardless of age, income or background – to nurture the potential of children and teens, improve the nation’s health and well-being, and provide opportunities to give back and support neighbors.  YMCA GREYSTONE AFTER SCHOOL CARE - The children will have a healthy snack, a devotion, 30 minute gym class, 30 minute program time and a 30 minute homework time daily.  A variety of additional add on activities are available.  Our staff will be able to take the children to and from any additional programming that takes place at the YMCA";;"Fee: $175 per month for members and $262 per month for non-members.";"YES";"NO";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";"Inverness Elementary School, Oak Mountain Elementary, Middle and Intermediate, Mt. Laurel Elementary, Greystone Elementary, Berry Middle School, Chelsea Park Elementary, Forest Oaks Elementary, Chelsea Middle"
"YMCA OF GREATER BIRMINGHAM/GREYSTONE SUMMER CAMPS";;"5414 Highway 280";;"Birmingham";"AL";35242;"205-981-0144";;"JEFFERSON";"thiers@ymcabham.org";;;"Tanya";"Hiers";;;"http://www.ymcabham.org/";;;;;;"Established in 1884, the YMCA of Birmingham is a nonprofit dedicated to strengthening communities through youth development, healthy living and social responsibility. Across Jefferson and Shelby Counties, 13 Ys engage more than 40,000 men, women and children – regardless of age, income or background – to nurture the potential of children and teens, improve the nation’s health and well-being, and provide opportunities to give back and support neighbors. Our camp programs are based out of the Greystone YMCA with many camps traveling off site for activities. ";"Traditional Camps: Traditional Camp (Ages 5-11), Teen Scene Camp (Ages 12-15); Specialty Camps; Sports Camps";"Traditional Camp (Ages 5-11) Fee: $125 Members (per week), $175 Nonmembers (per week); Teen Scene Camp (Ages 12-15) Fee: $125 Members (per week), $175 Nonmembers (per week); Specialty Camps Fees: $153 for members, $217 for non-members per week, additional fees may apply; Sports Camps: Fees are $143 per week for members, $207 for non-members, unless otherwise specified";"NO";"YES";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";
"YMCA HARGIS RETREAT SUMMER DAY CAMP";"YMCA Hargis Retreat";"928 Hargis Dr";;"Chelsea";"AL";35043;"205-678-6512";;"SHELBY";"cshores@ymcabham.org";;;"Christine";"Shores";;;"http://www.hargisretreat.org/";;;;;;"Hargis offers church and organizational retreats, band camps, day conferencing, reunions, and picnics year-round. Our facilities include seven lodges that can accommodate groups from 330 to 14. Each lodge offers ample meeting space. Our Dining Hall offers full meal services to meet any group’s needs. Cannon hall is a meeting hall which accommodates up to 330. Hargis' grounds are not only beautiful, but also have hiking trails, a lovely lake for fishing and canoeing, and fields for games and activities. You can play outdoor basketball or volleyball. We also offer swimming in our pool from May to September.";"Traditional Day Camp; Navigator Track Specialty Camps";;"NO";"YES";;
"YMCA OF GREATER BIRMINGHAM/HOOVER AFTER SCHOOL CARE";;"2250 John Hawkins Parkway";;"Hoover";"AL";35244;"205-682-1399";;"JEFFERSON";"kwerner@ymcabham.org";;;"Kara";"Werner";;"YES";"http://www.ymcabham.org/";;;;;;"We know that learning doesn't end when the school bell rings. The way your children spend time after school can make a big difference in their personal development and your family-life balance. At the Y, kids engage in a variety of exciting physical and imaginative activities that encourage them to explore who they are and what they can achieve. Through guided play children learn to respect themselves and others, work out their differences and discover the value of friendship. Academic support from caring role models enriches your child's educational experience and enables families to spend more quality time together.";;"Cost: $162 per month for members/$260 per month for non-members";"YES";"NO";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";"South Shades Crest Elementary School, Deer Valley Elementary School, Gwin Elementary School, Brock's Gap Intermediate School, Trace Crossings"
"YMCA OF GREATER BIRMINGHAM/NORTHEAST BEFORE & AFTER SCHOOL CARE";;"628 Red Lane Road";;"Birmingham";"AL";35215;"205-833-7616";;"JEFFERSON";"mhudson@ymcabham.org";;;"Micah";"Hudson";;"YES";"http://www.ymcabham.org/";;;"Before Care begins at 6 am; Afterschool Care is open from school dismissal until 6 pm. ";;;"We offer a safe, fun, and engaging environment for the kids including CATCH games, sports games, arts, crafts, weekly swimming, group activities, a homework room and much more! We provide a healthy snack after school each day. We also offer all day programs when the kids are out of school.";;"Registration Fees (non refundable): $30.00/child $70.00 per family of 3 or more; Pricing is weekly, per child: Before School Care: $25 if enrolled in before care only, $20 if also enrolled in ASC program; After School Care: $47 YMCA Members | $60 Non-Members";"YES";"NO";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";"Huffman Academy, Sun Valley Elementary, Center Point Elementary, Erwin Elementary, Erwin Middle, Chalkville Elementary, Robinson Elementary, W.J. Christian, Huffman Middle, Smith Middle, Huffman High (9th Grade), Parkway Christian, Ossie Ware Mitchell, St. Barnabas"
"YMCA OF GREATER BIRMINGHAM/PELHAM AFTERSCHOOL PROGRAM";;"2610 Pelham Parkway";;"Pelham";"AL";35124;"205-664-9622";;"SHELBY";"gtyson@ymcabham.org";;;"Gabby";"Tyson";;"YES";"http://www.ymcabham.org/";;"Each Day";"From school dismissal until 6:30 P.M. ";;;"Established in 1884 the YMCA of Birmingham is a nonprofit dedicated to strengthening communities through youth development, healthy living and social responsibility.  Across Jefferson and Shelby Counties, 13 Ys engage more than 40,000 men, women and children – regardless of age, income or background – to nurture the potential of children and teens, improve the nation’s health and well-being, and provide opportunities to give back and support neighbors. ";;"Fee: $165.00 per month – YMCA Members, $245.00 per month – Non Members";"YES";"NO";"http://www.ymcabham.org/SiteFiles/1598/Images/newLogo.jpg";"Helena Elementary, Helena Intermediate, Helena Middle, Valley Elementary, Valley Intermediate, Riverchase Middle School, Riverchase Elementary"
